,Class,Precision,Recall,F1-Score
0,0,0.998,0.998,0.998
1,1,0.998003992015968,1.0,0.999000999000999
2,2,0.9839357429718876,0.98,0.9819639278557114
3,3,0.9879032258064516,0.98,0.9839357429718876
4,4,0.9879759519038076,0.986,0.986986986986987
5,5,0.998,0.998,0.998
6,6,0.9959595959595959,0.986,0.9909547738693467
7,7,1.0,0.998,0.998998998998999
8,8,0.998,0.998,0.998
9,9,0.9979919678714859,0.994,0.9959919839679359
10,10,0.9880715705765407,0.994,0.9910269192422732
11,11,0.9798792756539235,0.974,0.9769307923771314
12,12,0.9960079840319361,0.998,0.997002997002997
13,13,0.9979919678714859,0.994,0.9959919839679359
14,14,0.9979919678714859,0.994,0.9959919839679359
15,15,0.9979838709677419,0.99,0.9939759036144579
16,16,0.9861111111111112,0.994,0.9900398406374502
17,17,0.9960079840319361,0.998,0.997002997002997
18,18,0.9940357852882704,1.0,0.9970089730807578
19,19,0.9959839357429718,0.992,0.9939879759519038
20,20,0.9960159362549801,1.0,0.998003992015968
21,21,0.998,0.998,0.998
22,22,0.9920159680638723,0.994,0.993006993006993
23,23,0.9939879759519038,0.992,0.992992992992993
24,24,0.998003992015968,1.0,0.999000999000999
25,25,0.9861111111111112,0.994,0.9900398406374502
26,26,1.0,0.986,0.9929506545820745
27,27,0.9959595959595959,0.986,0.9909547738693467
28,28,0.996,0.996,0.996
29,29,0.994,0.994,0.994
30,30,1.0,0.986,0.9929506545820745
31,31,0.9959839357429718,0.992,0.9939879759519038
32,32,0.9880239520958084,0.99,0.989010989010989
33,33,0.9959266802443992,0.978,0.9868819374369324
34,34,0.9900596421471173,0.996,0.9930209371884346
35,35,0.9684418145956607,0.982,0.9751737835153923
36,36,0.9940119760479041,0.996,0.995004995004995
37,37,0.9900398406374502,0.994,0.9920159680638723
38,38,0.9959919839679359,0.994,0.994994994994995
39,39,0.9979959919839679,0.996,0.996996996996997
40,40,0.9979959919839679,0.996,0.996996996996997
41,41,0.9979959919839679,0.996,0.996996996996997
42,42,0.9940119760479041,0.996,0.995004995004995
43,43,1.0,0.996,0.9979959919839679
44,44,0.9919839679358717,0.99,0.990990990990991
45,45,0.9880478087649402,0.992,0.9900199600798403
46,46,0.9899396378269618,0.984,0.9869608826479438
47,47,0.9937629937629938,0.956,0.9745158002038736
48,48,0.998003992015968,1.0,0.999000999000999
49,49,0.998,0.998,0.998
50,50,0.9919517102615694,0.986,0.9889669007021064
51,51,0.9881188118811881,0.998,0.9930348258706467
52,52,0.9572815533980582,0.986,0.9714285714285714
53,53,1.0,1.0,1.0
54,54,0.9939879759519038,0.992,0.992992992992993
55,55,0.966796875,0.99,0.9782608695652174
56,56,0.9979959919839679,0.996,0.996996996996997
57,57,0.9979959919839679,0.996,0.996996996996997
58,58,0.9979919678714859,0.994,0.9959919839679359
59,59,0.9762845849802372,0.988,0.9821073558648111
60,60,0.9979959919839679,0.996,0.996996996996997
61,61,0.9939516129032258,0.986,0.9899598393574297
62,62,0.993963782696177,0.988,0.9909729187562688
63,63,0.9821428571428571,0.99,0.9860557768924303
64,64,0.9939759036144579,0.99,0.9919839679358717
65,65,0.9920318725099602,0.996,0.9940119760479041
66,66,0.9960159362549801,1.0,0.998003992015968
67,67,0.9900793650793651,0.998,0.9940239043824701
68,68,0.9940357852882704,1.0,0.9970089730807578
69,69,1.0,1.0,1.0
70,70,0.9960079840319361,0.998,0.997002997002997
71,71,0.9920634920634921,1.0,0.9960159362549801
72,72,0.9738955823293173,0.97,0.9719438877755511
73,73,0.9880239520958084,0.99,0.989010989010989
74,74,0.9801980198019802,0.99,0.9850746268656716
75,75,1.0,0.998,0.998998998998999
76,76,1.0,1.0,1.0
77,77,1.0,0.996,0.9979959919839679
78,78,0.9919678714859438,0.988,0.9899799599198397
79,79,0.9920318725099602,0.996,0.9940119760479041
80,80,0.9900398406374502,0.994,0.9920159680638723
81,81,0.994,0.994,0.994
82,82,0.998,0.998,0.998
83,83,0.994,0.994,0.994
84,84,0.9939879759519038,0.992,0.992992992992993
85,85,0.998,0.998,0.998
86,86,1.0,0.996,0.9979959919839679
87,87,0.9959839357429718,0.992,0.9939879759519038
88,88,0.996,0.996,0.996
89,89,0.9979959919839679,0.996,0.996996996996997
90,90,0.9940357852882704,1.0,0.9970089730807578
91,91,1.0,0.998,0.998998998998999
92,92,0.99,0.99,0.99
93,93,0.9940239043824701,0.998,0.9960079840319361
94,94,0.9920477137176938,0.998,0.9950149551345963
95,95,0.9920318725099602,0.996,0.9940119760479041
96,96,0.9801192842942346,0.986,0.9830508474576272
97,97,0.9979959919839679,0.996,0.996996996996997
98,98,0.9899799599198397,0.988,0.988988988988989
99,99,0.9900398406374502,0.994,0.9920159680638723
